price,bread,hotcake,milk_or_sour_milk,cheese_cottage_cheese,others,week_day_0,week_day_1,week_day_2,week_day_3,week_day_4
12.99,1,0,0,0,0,0,0,1,0,0
13.16,0,0,0,0,1,0,0,1,0,0
25.94,0,0,0,0,1,0,0,1,0,0
11.01,0,0,0,0,1,0,0,1,0,0
26.1,0,0,0,0,1,0,0,1,0,0
8.1,0,0,0,0,1,0,0,1,0,0
15.04,0,0,0,0,1,0,0,1,0,0
18.16,0,0,0,0,1,0,0,1,0,0
10.68,0,0,0,0,1,0,0,1,0,0
19.95,0,0,0,0,1,0,0,1,0,0
22.9,0,0,0,0,1,0,0,1,0,0
35.95,0,0,0,0,1,0,0,1,0,0
22.96,0,0,0,0,1,0,0,1,0,0
29.7,0,0,0,0,1,0,0,1,0,0
7.25,0,0,1,0,0,0,0,1,0,0
9.64,0,0,1,0,0,0,0,1,0,0
8.7,0,0,1,0,0,0,0,1,0,0
6.99,0,0,1,0,0,0,0,1,0,0
4.88,0,0,1,0,0,0,0,1,0,0
7.42,0,0,1,0,0,0,0,1,0,0
6.32,0,0,1,0,0,0,0,1,0,0
17.99,1,0,0,0,0,0,0,1,0,0
9.0,0,1,0,0,0,0,0,1,0,0
6.0,0,1,0,0,0,0,0,1,0,0
13.0,0,1,0,0,0,0,0,1,0,0
6.0,0,1,0,0,0,0,0,1,0,0
6.0,0,1,0,0,0,0,0,1,0,0
6.0,0,1,0,0,0,0,0,1,0,0
5.98,0,1,0,0,0,0,0,1,0,0
7.0,0,1,0,0,0,0,0,1,0,0
5.99,0,1,0,0,0,0,0,1,0,0
8.96,0,1,0,0,0,0,0,1,0,0
16.14,0,0,0,1,0,0,0,1,0,0
6.97,1,0,0,0,0,0,0,1,0,0
5.95,0,1,0,0,0,0,0,1,0,0
5.32,0,0,1,0,0,0,0,1,0,0
6.51,0,0,1,0,0,0,0,1,0,0
7.07,0,0,1,0,0,0,0,1,0,0
10.18,0,0,1,0,0,0,0,1,0,0
10.29,0,0,1,0,0,0,0,1,0,0
8.0,0,1,0,0,0,0,0,1,0,0
6.28,0,0,0,0,1,0,0,1,0,0
11.04,0,0,0,0,1,0,0,1,0,0
12.05,0,0,0,0,1,0,0,1,0,0
13.77,0,0,0,0,1,0,0,1,0,0
7.11,0,0,1,0,0,0,0,1,0,0
6.49,0,0,1,0,0,0,0,1,0,0
9.0,0,1,0,0,0,0,0,1,0,0
98.48,0,0,0,1,0,0,0,1,0,0
89.62,0,0,0,1,0,0,0,1,0,0
119.9,0,0,0,1,0,0,0,1,0,0
159.22,0,0,0,1,0,0,0,1,0,0
99.69,0,0,0,1,0,0,0,1,0,0
9.0,0,0,0,1,0,0,0,1,0,0
10.06,0,0,0,1,0,0,0,1,0,0
29.33,0,0,0,1,0,0,0,1,0,0
30.75,0,0,0,1,0,0,0,1,0,0
5.45,0,0,0,1,0,0,0,1,0,0
6.23,0,0,0,1,0,0,0,1,0,0
14.38,0,0,0,1,0,0,0,1,0,0
18.85,0,0,0,1,0,0,0,1,0,0
17.18,0,0,0,1,0,0,0,1,0,0
24.14,0,0,0,1,0,0,0,1,0,0
9.04,0,0,0,1,0,0,0,1,0,0
9.07,0,0,0,1,0,0,0,1,0,0
3.86,1,0,0,0,0,0,0,1,0,0
6.62,1,0,0,0,0,0,0,1,0,0
3.79,1,0,0,0,0,0,0,1,0,0
4.21,1,0,0,0,0,0,0,1,0,0
4.96,1,0,0,0,0,0,0,1,0,0
4.12,1,0,0,0,0,0,0,1,0,0
5.28,1,0,0,0,0,0,0,1,0,0
10.0,1,0,0,0,0,0,0,1,0,0
9.8,1,0,0,0,0,0,0,1,0,0
15.25,1,0,0,0,0,0,0,1,0,0
9.95,1,0,0,0,0,0,0,1,0,0
3.0,1,0,0,0,0,0,0,1,0,0
6.5,1,0,0,0,0,0,0,1,0,0
8.31,1,0,0,0,0,0,0,1,0,0
3.1,1,0,0,0,0,0,0,1,0,0
3.56,1,0,0,0,0,0,0,1,0,0
5.06,1,0,0,0,0,0,0,1,0,0
6.96,0,1,0,0,0,0,0,1,0,0
3.86,1,0,0,0,0,0,0,0,1,0
8.06,1,0,0,0,0,0,0,0,1,0
5.98,1,0,0,0,0,0,0,0,1,0
4.71,1,0,0,0,0,0,0,0,1,0
7.66,1,0,0,0,0,0,0,0,1,0
5.31,1,0,0,0,0,0,0,0,1,0
4.35,1,0,0,0,0,0,0,0,1,0
6.48,1,0,0,0,0,0,0,0,1,0
3.91,1,0,0,0,0,0,0,0,1,0
6.0,1,0,0,0,0,0,0,0,1,0
11.95,0,1,0,0,0,0,0,0,1,0
6.49,0,0,1,0,0,0,0,0,1,0
2.97,1,0,0,0,0,0,0,0,1,0
6.0,1,0,0,0,0,0,0,0,1,0
4.45,1,0,0,0,0,0,0,0,1,0
17.73,0,0,1,0,0,0,0,0,1,0
4.12,0,0,1,0,0,0,0,0,1,0
8.3,0,0,1,0,0,0,0,0,1,0
13.56,0,0,1,0,0,0,0,0,1,0
8.31,0,0,1,0,0,0,0,0,1,0
7.4,0,0,1,0,0,0,0,0,1,0
9.19,0,0,1,0,0,0,0,0,1,0
5.9,0,0,1,0,0,0,0,0,1,0
5.73,0,0,1,0,0,0,0,0,1,0
6.35,0,0,1,0,0,0,0,0,1,0
8.31,0,0,1,0,0,0,0,0,1,0
8.37,0,0,1,0,0,0,0,0,1,0
8.32,0,0,1,0,0,0,0,0,1,0
8.37,0,0,1,0,0,0,0,0,1,0
8.32,0,0,1,0,0,0,0,0,1,0
8.31,0,0,1,0,0,0,0,0,1,0
8.8,0,0,0,0,1,0,0,0,1,0
20.94,0,0,0,0,1,0,0,0,1,0
12.07,0,0,0,0,1,0,0,0,1,0
18.11,0,0,0,0,1,0,0,0,1,0
7.97,0,0,0,0,1,0,0,0,1,0
19.94,0,0,0,0,1,0,0,0,1,0
23.14,0,0,0,0,1,0,0,0,1,0
35.94,0,0,0,0,1,0,0,0,1,0
22.91,0,0,0,0,1,0,0,0,1,0
29.0,0,0,0,0,1,0,0,0,1,0
17.1,0,0,0,0,1,0,0,0,1,0
7.35,0,0,1,0,0,0,0,0,1,0
5.54,0,0,1,0,0,0,0,0,1,0
9.58,0,0,1,0,0,0,0,0,1,0
8.75,0,0,1,0,0,0,0,0,1,0
6.98,0,0,1,0,0,0,0,0,1,0
4.84,0,0,1,0,0,0,0,0,1,0
17.83,0,0,1,0,0,0,0,0,1,0
7.45,0,0,1,0,0,0,0,0,1,0
5.1,0,0,1,0,0,0,0,0,1,0
6.28,0,0,1,0,0,0,0,0,1,0
6.25,0,0,1,0,0,0,0,0,1,0
8.94,0,1,0,0,0,0,0,0,1,0
5.96,0,1,0,0,0,0,0,0,1,0
5.97,0,1,0,0,0,0,0,0,1,0
13.0,0,1,0,0,0,0,0,0,1,0
6.0,0,1,0,0,0,0,0,0,1,0
5.97,0,1,0,0,0,0,0,0,1,0
5.93,0,1,0,0,0,0,0,0,1,0
6.97,0,1,0,0,0,0,0,0,1,0
6.0,0,1,0,0,0,0,0,0,1,0
10.09,0,1,0,0,0,0,0,0,1,0
8.99,0,1,0,0,0,0,0,0,1,0
5.99,0,1,0,0,0,0,0,0,1,0
9.0,0,1,0,0,0,0,0,0,1,0
7.84,0,1,0,0,0,0,0,0,1,0
6.46,0,0,1,0,0,0,0,0,1,0
22.68,0,0,0,0,1,0,0,0,1,0
10.2,0,0,1,0,0,0,0,0,1,0
7.98,0,1,0,0,0,0,0,0,1,0
6.25,0,0,0,0,1,0,0,0,1,0
11.03,0,0,0,0,1,0,0,0,1,0
12.13,0,0,0,0,1,0,0,0,1,0
9.27,0,0,0,0,1,0,0,0,1,0
7.13,0,0,1,0,0,0,0,0,1,0
9.0,0,1,0,0,0,0,0,0,1,0
29.36,0,0,0,1,0,0,0,0,1,0
99.71,0,0,0,1,0,0,0,0,1,0
129.67,0,0,0,1,0,0,0,0,1,0
69.55,0,0,0,1,0,0,0,0,1,0
159.54,0,0,0,1,0,0,0,0,1,0
99.62,0,0,0,1,0,0,0,0,1,0
147.86,0,0,0,1,0,0,0,0,1,0
18.58,0,0,0,1,0,0,0,0,1,0
30.92,0,0,0,1,0,0,0,0,1,0
15.93,0,0,0,1,0,0,0,0,1,0
18.71,0,0,0,1,0,0,0,0,1,0
17.21,0,0,0,1,0,0,0,0,1,0
17.96,0,0,0,1,0,0,0,0,1,0
9.96,1,0,0,0,0,0,0,0,1,0
8.05,1,0,0,0,0,0,0,0,1,0
3.85,1,0,0,0,0,0,0,0,1,0
6.66,1,0,0,0,0,0,0,0,1,0
3.8,1,0,0,0,0,0,0,0,1,0
4.22,1,0,0,0,0,0,0,0,1,0
4.28,1,0,0,0,0,0,0,0,1,0
7.38,1,0,0,0,0,0,0,0,1,0
4.98,1,0,0,0,0,0,0,0,1,0
4.18,1,0,0,0,0,0,0,0,1,0
5.21,1,0,0,0,0,0,0,0,1,0
9.95,1,0,0,0,0,0,0,0,1,0
9.98,1,0,0,0,0,0,0,0,1,0
13.1,1,0,0,0,0,0,0,0,1,0
2.98,1,0,0,0,0,0,0,0,1,0
6.48,1,0,0,0,0,0,0,0,1,0
7.01,1,0,0,0,0,0,0,0,1,0
8.35,1,0,0,0,0,0,0,0,1,0
3.1,1,0,0,0,0,0,0,0,1,0
3.56,1,0,0,0,0,0,0,0,1,0
5.07,1,0,0,0,0,0,0,0,1,0
6.94,0,1,0,0,0,0,0,0,1,0
3.86,1,0,0,0,0,0,0,0,0,1
8.08,1,0,0,0,0,0,0,0,0,1
5.98,1,0,0,0,0,0,0,0,0,1
4.71,1,0,0,0,0,0,0,0,0,1
5.32,1,0,0,0,0,0,0,0,0,1
4.38,1,0,0,0,0,0,0,0,0,1
3.94,1,0,0,0,0,0,0,0,0,1
5.99,1,0,0,0,0,0,0,0,0,1
2.97,1,0,0,0,0,0,0,0,0,1
5.97,1,0,0,0,0,0,0,0,0,1
7.44,1,0,0,0,0,0,0,0,0,1
5.98,0,1,0,0,0,0,0,0,0,1
10.6,0,0,1,0,0,0,0,0,0,1
17.99,0,0,1,0,0,0,0,0,0,1
8.3,0,0,1,0,0,0,0,0,0,1
8.32,0,0,1,0,0,0,0,0,0,1
7.37,0,0,1,0,0,0,0,0,0,1
8.3,0,0,1,0,0,0,0,0,0,1
7.5,0,0,1,0,0,0,0,0,0,1
9.12,0,0,1,0,0,0,0,0,0,1
5.91,0,0,1,0,0,0,0,0,0,1
6.41,0,0,1,0,0,0,0,0,0,1
8.34,0,0,1,0,0,0,0,0,0,1
8.37,0,0,1,0,0,0,0,0,0,1
7.22,0,0,1,0,0,0,0,0,0,1
8.95,1,0,0,0,0,0,0,0,0,1
10.87,0,0,0,0,1,0,0,0,0,1
10.63,0,0,0,0,1,0,0,0,0,1
18.21,0,0,0,0,1,0,0,0,0,1
10.74,0,0,0,0,1,0,0,0,0,1
5.09,0,0,0,0,1,0,0,0,0,1
19.87,0,0,0,0,1,0,0,0,0,1
29.78,0,0,0,0,1,0,0,0,0,1
11.22,0,0,0,1,0,0,0,0,0,1
4.82,0,0,1,0,0,0,0,0,0,1
6.94,0,0,1,0,0,0,0,0,0,1
8.76,0,0,1,0,0,0,0,0,0,1
6.97,0,0,1,0,0,0,0,0,0,1
4.86,0,0,1,0,0,0,0,0,0,1
7.4,0,0,1,0,0,0,0,0,0,1
17.94,1,0,0,0,0,0,0,0,0,1
8.98,0,1,0,0,0,0,0,0,0,1
6.0,0,1,0,0,0,0,0,0,0,1
6.0,0,1,0,0,0,0,0,0,0,1
6.0,0,1,0,0,0,0,0,0,0,1
13.0,0,1,0,0,0,0,0,0,0,1
6.0,0,1,0,0,0,0,0,0,0,1
5.99,0,1,0,0,0,0,0,0,0,1
5.99,0,1,0,0,0,0,0,0,0,1
5.99,0,1,0,0,0,0,0,0,0,1
6.0,0,1,0,0,0,0,0,0,0,1
6.98,0,1,0,0,0,0,0,0,0,1
7.0,0,1,0,0,0,0,0,0,0,1
6.0,0,1,0,0,0,0,0,0,0,1
9.0,0,1,0,0,0,0,0,0,0,1
21.57,0,0,0,1,0,0,0,0,0,1
10.25,0,0,0,1,0,0,0,0,0,1
5.98,0,1,0,0,0,0,0,0,0,1
110.77,0,0,0,1,0,0,0,0,0,1
7.97,0,1,0,0,0,0,0,0,0,1
7.01,0,0,1,0,0,0,0,0,0,1
10.22,0,0,1,0,0,0,0,0,0,1
4.89,0,1,0,0,0,0,0,0,0,1
6.25,0,0,0,0,1,0,0,0,0,1
11.04,0,0,0,0,1,0,0,0,0,1
10.39,0,0,0,0,1,0,0,0,0,1
20.32,0,0,0,0,1,0,0,0,0,1
11.9,0,0,0,0,1,0,0,0,0,1
9.39,0,0,0,0,1,0,0,0,0,1
13.7,0,0,0,0,1,0,0,0,0,1
7.1,0,0,1,0,0,0,0,0,0,1
9.0,0,1,0,0,0,0,0,0,0,1
12.19,0,0,0,0,1,0,0,0,0,1
22.99,0,0,0,0,1,0,0,0,0,1
99.9,0,0,0,1,0,0,0,0,0,1
169.97,0,0,0,1,0,0,0,0,0,1
70.26,0,0,0,1,0,0,0,0,0,1
89.69,0,0,0,1,0,0,0,0,0,1
119.36,0,0,0,1,0,0,0,0,0,1
159.55,0,0,0,1,0,0,0,0,0,1
169.3,0,0,0,1,0,0,0,0,0,1
149.93,0,0,0,1,0,0,0,0,0,1
4.74,0,0,0,1,0,0,0,0,0,1
9.0,0,0,0,1,0,0,0,0,0,1
84.78,0,0,0,1,0,0,0,0,0,1
119.72,0,0,0,1,0,0,0,0,0,1
30.92,0,0,0,1,0,0,0,0,0,1
5.44,0,0,0,1,0,0,0,0,0,1
18.67,0,0,0,1,0,0,0,0,0,1
17.22,0,0,0,1,0,0,0,0,0,1
18.09,0,0,0,1,0,0,0,0,0,1
21.34,0,0,0,1,0,0,0,0,0,1
7.78,1,0,0,0,0,0,0,0,0,1
7.39,1,0,0,0,0,0,0,0,0,1
3.86,1,0,0,0,0,0,0,0,0,1
6.65,1,0,0,0,0,0,0,0,0,1
3.81,1,0,0,0,0,0,0,0,0,1
5.98,1,0,0,0,0,0,0,0,0,1
4.22,1,0,0,0,0,0,0,0,0,1
4.29,1,0,0,0,0,0,0,0,0,1
8.0,1,0,0,0,0,0,0,0,0,1
4.97,1,0,0,0,0,0,0,0,0,1
4.12,1,0,0,0,0,0,0,0,0,1
5.3,1,0,0,0,0,0,0,0,0,1
9.98,1,0,0,0,0,0,0,0,0,1
10.0,1,0,0,0,0,0,0,0,0,1
10.97,1,0,0,0,0,0,0,0,0,1
9.95,1,0,0,0,0,0,0,0,0,1
2.95,1,0,0,0,0,0,0,0,0,1
8.38,1,0,0,0,0,0,0,0,0,1
3.07,1,0,0,0,0,0,0,0,0,1
3.52,1,0,0,0,0,0,0,0,0,1
5.07,1,0,0,0,0,0,0,0,0,1
6.98,0,1,0,0,0,0,0,0,0,1
3.85,1,0,0,0,0,1,0,0,0,0
8.08,1,0,0,0,0,1,0,0,0,0
4.7,1,0,0,0,0,1,0,0,0,0
7.68,1,0,0,0,0,1,0,0,0,0
5.3,1,0,0,0,0,1,0,0,0,0
4.78,1,0,0,0,0,1,0,0,0,0
4.36,1,0,0,0,0,1,0,0,0,0
6.47,1,0,0,0,0,1,0,0,0,0
3.94,1,0,0,0,0,1,0,0,0,0
11.92,0,1,0,0,0,1,0,0,0,0
6.61,0,0,1,0,0,1,0,0,0,0
2.99,1,0,0,0,0,1,0,0,0,0
5.98,1,0,0,0,0,1,0,0,0,0
4.5,1,0,0,0,0,1,0,0,0,0
7.45,1,0,0,0,0,1,0,0,0,0
5.98,0,1,0,0,0,1,0,0,0,0
7.68,0,0,1,0,0,1,0,0,0,0
8.33,0,0,1,0,0,1,0,0,0,0
8.29,0,0,1,0,0,1,0,0,0,0
8.18,0,0,1,0,0,1,0,0,0,0
8.38,0,0,1,0,0,1,0,0,0,0
10.02,0,0,1,0,0,1,0,0,0,0
10.02,0,0,1,0,0,1,0,0,0,0
6.12,0,0,1,0,0,1,0,0,0,0
7.49,0,0,1,0,0,1,0,0,0,0
9.17,0,0,1,0,0,1,0,0,0,0
5.72,0,0,1,0,0,1,0,0,0,0
6.35,0,0,1,0,0,1,0,0,0,0
8.33,0,0,1,0,0,1,0,0,0,0
8.3,0,0,1,0,0,1,0,0,0,0
8.32,0,0,1,0,0,1,0,0,0,0
8.33,0,0,1,0,0,1,0,0,0,0
7.19,0,0,1,0,0,1,0,0,0,0
6.21,0,0,1,0,0,1,0,0,0,0
8.96,1,0,0,0,0,1,0,0,0,0
10.76,0,0,0,0,1,1,0,0,0,0
26.07,0,0,0,0,1,1,0,0,0,0
18.01,0,0,0,0,1,1,0,0,0,0
11.02,0,0,0,0,1,1,0,0,0,0
25.87,0,0,0,0,1,1,0,0,0,0
18.14,0,0,0,0,1,1,0,0,0,0
18.18,0,0,0,0,1,1,0,0,0,0
10.75,0,0,0,0,1,1,0,0,0,0
19.83,0,0,0,0,1,1,0,0,0,0
23.13,0,0,0,0,1,1,0,0,0,0
22.89,0,0,0,0,1,1,0,0,0,0
19.7,0,0,0,0,1,1,0,0,0,0
29.77,0,0,0,0,1,1,0,0,0,0
4.78,0,0,1,0,0,1,0,0,0,0
7.28,0,0,1,0,0,1,0,0,0,0
6.9,0,0,1,0,0,1,0,0,0,0
5.55,0,0,1,0,0,1,0,0,0,0
9.62,0,0,1,0,0,1,0,0,0,0
8.7,0,0,1,0,0,1,0,0,0,0
6.98,0,0,1,0,0,1,0,0,0,0
4.85,0,0,1,0,0,1,0,0,0,0
17.75,0,0,1,0,0,1,0,0,0,0
7.38,0,0,1,0,0,1,0,0,0,0
5.14,0,0,1,0,0,1,0,0,0,0
6.32,0,0,1,0,0,1,0,0,0,0
10.48,0,0,1,0,0,1,0,0,0,0
6.54,0,0,1,0,0,1,0,0,0,0
4.98,0,0,1,0,0,1,0,0,0,0
29.72,0,0,0,1,0,1,0,0,0,0
17.74,1,0,0,0,0,1,0,0,0,0
8.92,0,1,0,0,0,1,0,0,0,0
5.99,0,1,0,0,0,1,0,0,0,0
5.98,0,1,0,0,0,1,0,0,0,0
12.99,0,1,0,0,0,1,0,0,0,0
6.0,0,1,0,0,0,1,0,0,0,0
5.99,0,1,0,0,0,1,0,0,0,0
5.99,0,1,0,0,0,1,0,0,0,0
6.99,0,1,0,0,0,1,0,0,0,0
6.0,0,1,0,0,0,1,0,0,0,0
6.0,0,1,0,0,0,1,0,0,0,0
10.07,0,1,0,0,0,1,0,0,0,0
8.99,0,1,0,0,0,1,0,0,0,0
5.98,0,1,0,0,0,1,0,0,0,0
31.96,0,0,0,1,0,1,0,0,0,0
6.24,0,0,0,1,0,1,0,0,0,0
5.34,0,0,1,0,0,1,0,0,0,0
6.37,0,1,0,0,0,1,0,0,0,0
8.0,0,1,0,0,0,1,0,0,0,0
7.07,0,0,1,0,0,1,0,0,0,0
19.55,0,0,0,0,1,1,0,0,0,0
15.86,0,0,0,0,1,1,0,0,0,0
10.24,0,0,1,0,0,1,0,0,0,0
12.66,0,0,1,0,0,1,0,0,0,0
7.98,0,1,0,0,0,1,0,0,0,0
5.0,0,1,0,0,0,1,0,0,0,0
6.24,0,0,0,0,1,1,0,0,0,0
11.03,0,0,0,0,1,1,0,0,0,0
10.34,0,0,0,0,1,1,0,0,0,0
17.17,0,0,0,0,1,1,0,0,0,0
12.13,0,0,0,0,1,1,0,0,0,0
9.35,0,0,0,0,1,1,0,0,0,0
13.75,0,0,0,0,1,1,0,0,0,0
7.09,0,0,1,0,0,1,0,0,0,0
6.36,0,0,1,0,0,1,0,0,0,0
8.99,0,1,0,0,0,1,0,0,0,0
98.24,0,0,0,1,0,1,0,0,0,0
99.64,0,0,0,1,0,1,0,0,0,0
112.21,0,0,0,1,0,1,0,0,0,0
9.08,0,0,0,1,0,1,0,0,0,0
139.6,0,0,0,1,0,1,0,0,0,0
98.86,0,0,0,1,0,1,0,0,0,0
159.57,0,0,0,1,0,1,0,0,0,0
148.67,0,0,0,1,0,1,0,0,0,0
4.92,0,0,0,1,0,1,0,0,0,0
144.64,0,0,0,1,0,1,0,0,0,0
84.37,0,0,0,1,0,1,0,0,0,0
209.3,0,0,0,1,0,1,0,0,0,0
119.43,0,0,0,1,0,1,0,0,0,0
30.58,0,0,0,1,0,1,0,0,0,0
10.56,0,0,0,1,0,1,0,0,0,0
18.64,0,0,0,1,0,1,0,0,0,0
20.59,0,0,0,1,0,1,0,0,0,0
30.8,0,0,0,1,0,1,0,0,0,0
5.46,0,0,0,1,0,1,0,0,0,0
4.39,0,0,0,1,0,1,0,0,0,0
10.26,0,0,0,1,0,1,0,0,0,0
5.76,0,0,0,1,0,1,0,0,0,0
10.26,0,0,0,1,0,1,0,0,0,0
6.04,0,0,0,1,0,1,0,0,0,0
5.76,0,0,0,1,0,1,0,0,0,0
